,metric,value,model
583,f1_weighted,0.2547791697091532,bert
584,f1_weighted,0.18980561978288982,bert
585,accuracy,0.2315270935960591,bert
586,accuracy,0.285,bert
587,accuracy,0.25,bert
588,accuracy,0.255,bert
589,accuracy,0.19,bert
590,balanced_accuracy,0.23085365853658538,bert
591,balanced_accuracy,0.28500000000000003,bert
592,balanced_accuracy,0.25,bert
593,balanced_accuracy,0.255,bert
594,balanced_accuracy,0.19,bert
595,f1_weighted,0.23347885553499967,bert
596,f1_weighted,0.28449078937739464,bert
597,f1_weighted,0.25084464690835373,bert
598,f1_weighted,0.25477916970915326,bert
599,f1_weighted,0.18980561978288982,bert
600,accuracy,0.9058823529411765,bert
601,accuracy,0.9352941176470588,bert
602,accuracy,0.9526627218934911,bert
603,accuracy,0.9345238095238095,bert
604,accuracy,0.9285714285714286,bert
605,balanced_accuracy,0.5347222222222222,bert
606,balanced_accuracy,0.6095679012345678,bert
607,balanced_accuracy,0.6781832298136645,bert
608,balanced_accuracy,0.6242236024844721,bert
609,balanced_accuracy,0.6211180124223603,bert
610,f1,0.11111111111111112,bert
611,f1,0.26666666666666666,bert
612,f1,0.42857142857142855,bert
613,f1,0.26666666666666666,bert
614,f1,0.25,bert
615,precision,0.1,bert
616,precision,0.2857142857142857,bert
617,precision,0.5,bert
618,precision,0.25,bert
619,precision,0.2222222222222222,bert
620,recall,0.125,bert
621,recall,0.25,bert
622,recall,0.375,bert
623,recall,0.2857142857142857,bert
624,recall,0.2857142857142857,bert
625,roc_auc,0.6604938271604939,bert
626,roc_auc,0.6774691358024691,bert
627,roc_auc,0.6933229813664596,bert
628,roc_auc,0.8278615794143744,bert
629,roc_auc,0.5705412599822537,bert
630,accuracy,0.2,bert
631,accuracy,0.29411764705882354,bert
632,accuracy,0.24705882352941178,bert
633,accuracy,0.2857142857142857,bert
634,accuracy,0.19161676646706588,bert
635,balanced_accuracy,0.19807375625212437,bert
636,balanced_accuracy,0.2890679530907235,bert
637,balanced_accuracy,0.24456574862646968,bert
638,balanced_accuracy,0.28303049470032393,bert
639,balanced_accuracy,0.18978973798708143,bert
640,f1_weighted,0.1983236771839713,bert
641,f1_weighted,0.28964744518497054,bert
642,f1_weighted,0.24270447706579157,bert
643,f1_weighted,0.28257471517198857,bert
644,f1_weighted,0.18953983682457767,bert
645,accuracy,0.24705882352941178,bert
646,accuracy,0.2485207100591716,bert
647,accuracy,0.20118343195266272,bert
648,accuracy,0.20710059171597633,bert
649,accuracy,0.2916666666666667,bert
650,balanced_accuracy,0.24838890838890837,bert
651,balanced_accuracy,0.24536039477215948,bert
652,balanced_accuracy,0.1979636473754121,bert
653,balanced_accuracy,0.20714774361833185,bert
654,balanced_accuracy,0.29050637822696646,bert
655,f1_weighted,0.24344733189255854,bert
656,f1_weighted,0.24827026640105757,bert
657,f1_weighted,0.19994804067925712,bert
658,f1_weighted,0.2024796329645828,bert
659,f1_weighted,0.29439231351744677,bert
660,accuracy,0.2411764705882353,bert
661,accuracy,0.28823529411764703,bert
662,accuracy,0.2823529411764706,bert
663,accuracy,0.28994082840236685,bert
664,accuracy,0.2289156626506024,bert
665,balanced_accuracy,0.24088107970460912,bert
666,balanced_accuracy,0.28880061115355227,bert
667,balanced_accuracy,0.2826228673287497,bert
668,balanced_accuracy,0.2896613190730838,bert
