,accuracy,balanced_accuracy,f1_weighted,relation,y_type,model
422,0.3178461538461539,0.3177142857142857,0.31698178534084676,Instrument-Agency,P(E|no C),conceptnet
423,0.2733065537322963,0.27316290726817044,0.2546783715148229,Instrument-Agency,q,conceptnet
424,0.2996923076923077,0.29980952380952386,0.2964375957163213,Instrument-Agency,p,conceptnet
425,0.2996923076923077,0.29980952380952386,0.2964375957163213,Instrument-Agency,causal_power,conceptnet
426,0.3056153846153846,0.3055238095238095,0.29610348250543705,Instrument-Agency,PMI,conceptnet
427,0.3056153846153846,0.3055238095238095,0.29610348250543705,Instrument-Agency,PPMI,conceptnet
428,0.3056153846153846,0.3055238095238095,0.29610348250543705,Instrument-Agency,CPMI_-2,conceptnet
429,0.2617692307692308,0.2616190476190476,0.2530534320144971,Instrument-Agency,NPMI,conceptnet
430,0.3056153846153846,0.3055238095238095,0.29610348250543705,Instrument-Agency,NNEGPMI,conceptnet
431,0.25384191428851627,0.24768329915698337,0.22565181636059178,Instrument-Agency,P(C|E),conceptnet
432,0.2940769230769231,0.2939047619047619,0.2841260173308331,Instrument-Agency,causal_stength_nec,conceptnet
433,0.3015384615384616,0.30142857142857143,0.28209193810780675,Instrument-Agency,causal_stength_suf,conceptnet
434,0.2855384615384616,0.2856190476190476,0.28039035712112337,Instrument-Agency,causal_stength_0.5,conceptnet
435,0.29023076923076924,0.2902857142857143,0.2848142510873851,Instrument-Agency,causal_stength_0.7,conceptnet
436,0.28192307692307694,0.28190476190476194,0.27688772791405863,Instrument-Agency,causal_stength_0.9,conceptnet
437,0.2940769230769231,0.2939047619047619,0.2841260173308331,Instrument-Agency,causal_stength_1.0,conceptnet
438,0.43876923076923074,0.4382857142857143,0.3618032943830417,Instrument-Agency,avg_freq_uni,conceptnet
439,0.3947692307692308,0.39485714285714285,0.36164621803977326,Instrument-Agency,avg_freq_bi,conceptnet
440,0.27999999999999997,0.2788420136695999,0.26659205492551974,Member-Collection,P(E|C),conceptnet
441,0.32779529869326646,0.3231375521030694,0.2664588615884593,Member-Collection,P(E),conceptnet
442,0.3076190476190476,0.3076190476190476,0.2921820051559397,Member-Collection,probabilistic_causality_diff,conceptnet
443,0.3076190476190476,0.3076190476190476,0.2921820051559397,Member-Collection,delta_P,conceptnet
444,0.3480952380952381,0.3480952380952381,0.3137649375015815,Member-Collection,P(E|no C),conceptnet
445,0.3076190476190476,0.3076190476190476,0.2921820051559397,Member-Collection,q,conceptnet
446,0.30608465608465607,0.30608465608465607,0.2856759576991178,Member-Collection,p,conceptnet
447,0.30608465608465607,0.30608465608465607,0.2856759576991178,Member-Collection,causal_power,conceptnet
448,0.3205820105820106,0.3205820105820106,0.2908127318236538,Member-Collection,PMI,conceptnet
449,0.3205820105820106,0.3205820105820106,0.2908127318236538,Member-Collection,PPMI,conceptnet
450,0.3205820105820106,0.3205820105820106,0.2908127318236538,Member-Collection,CPMI_-2,conceptnet
451,0.3160846560846561,0.3160846560846561,0.28064027172669254,Member-Collection,NPMI,conceptnet
452,0.3205820105820106,0.3205820105820106,0.2908127318236538,Member-Collection,NNEGPMI,conceptnet
453,0.2595721601377223,0.25811446535584465,0.23761544027209797,Member-Collection,P(C|E),conceptnet
454,0.3281481481481482,0.32814814814814813,0.2894207275812766,Member-Collection,causal_stength_nec,conceptnet
455,0.3377777777777778,0.3377777777777778,0.2929247791647774,Member-Collection,causal_stength_suf,conceptnet
